"","CompositeCommonName","scientific_name"
"1","white croaker","Genyonemus lineatus"
"2","white croaker","Genyonemus lineatus"
"3","spotted sand bass","Paralabrax maculatofasciatus"
"4","shiner surfperch","Cymatogaster aggregata"
"5","shiner surfperch","Cymatogaster aggregata"
"6","spotted sand bass","Paralabrax maculatofasciatus"
"7","walleye surfperch","Hyperprosopon argenteum"
"8","barred surfperch","Amphistichus argenteus"
"9","barred surfperch","Amphistichus argenteus"
"10","queenfish","Seriphus politus"
"11","diamond turbot","Pleuronichthys guttulatus"
"12","quillback rockfish","Sebastes maliger"
"13","kelp bass","Paralabrax clathratus"
"14","black perch","Embiotica jacksoni"
"15","kelp bass","Paralabrax clathratus"
"16","shiner surfperch","Cymatogaster aggregata"
"17","rainbow surfperch","Hypsurus caryi"
"18","shiner surfperch","Cymatogaster aggregata"
"19","spotted sand bass","Paralabrax maculatofasciatus"
"20","spotted sand bass","Paralabrax maculatofasciatus"
"21","yellowfin croaker","Umbrina roncador"
"22","spotted sand bass","Paralabrax maculatofasciatus"
"23","rosy rockfish","Sebastes helvomaculatus"
"24","canary rockfish","Sebastes pinniger"
"25","shiner surfperch","Cymatogaster aggregata"
"26","spotted sand bass","Paralabrax maculatofasciatus"
"27","shiner surfperch","Cymatogaster aggregata"
"28","spotted sand bass","Paralabrax maculatofasciatus"
"29","shiner surfperch","Cymatogaster aggregata"
"30","rainbow surfperch","Hypsurus caryi"
"31","spotted sand bass","Paralabrax maculatofasciatus"
"32","rainbow surfperch","Hypsurus caryi"
"33","opaleye","Girella nigricans"
"34","kelp bass","Paralabrax clathratus"
"35","rainbow surfperch","Hypsurus caryi"
"36","black perch","Embiotica jacksoni"
"37","pile surfperch","Phanerodon vacca"
"38","kelp bass","Paralabrax clathratus"
"39","spotted sand bass","Paralabrax maculatofasciatus"
"40","rainbow surfperch","Hypsurus caryi"
"41","shiner surfperch","Cymatogaster aggregata"
"42","barred surfperch","Amphistichus argenteus"
"43","diamond turbot","Pleuronichthys guttulatus"
"44","yellowfin croaker","Umbrina roncador"
"45","opaleye","Girella nigricans"
"46","barred sand bass","Paralabrax nebulifer"
"47","kelp bass","Paralabrax clathratus"
"48","yellowfin croaker","Umbrina roncador"
"49","kelp bass","Paralabrax clathratus"
"50","yellowfin croaker","Umbrina roncador"
"51","shiner surfperch","Cymatogaster aggregata"
"52","diamond turbot","Pleuronichthys guttulatus"
"53","kelp bass","Paralabrax clathratus"
"54","rainbow surfperch","Hypsurus caryi"
"55","diamond turbot","Pleuronichthys guttulatus"
"56","barred surfperch","Amphistichus argenteus"
"57","barred surfperch","Amphistichus argenteus"
"58","white croaker","Genyonemus lineatus"
"59","barred surfperch","Amphistichus argenteus"
"60","california corbina","Menticirrhus undulatus"
"61","california corbina","Menticirrhus undulatus"
"62","white croaker","Genyonemus lineatus"
"63","white surfperch","Phanerodon furcatus"
"64","california corbina","Menticirrhus undulatus"
"65","california halibut","Paralichthys californicus"
"66","diamond turbot","Pleuronichthys guttulatus"
"67","california corbina","Menticirrhus undulatus"
"68","yellowtail rockfish","Sebastes flavidus"
"69","jacksmelt","Atherinopsis californiensis"
"70","barred surfperch","Amphistichus argenteus"
