"mod","Estimate_elpd_loo","Estimate_looic","R2_Estimate"
"brm.none",-1951.20487659724,3902.40975319447,0.524979533564097
"brm.none.fam",-1821.15833220792,3642.31666441584,0.506467645479875
"brm.habitat.slope",-1909.75420592617,3819.50841185234,0.559596787368508
"brm.habitat.slope.fam",-1707.02056172665,3414.04112345331,0.59113279153796
"brm.habitat",-1894.9109900183,3789.8219800366,0.571191686676417
"brm.habitat.fam",-1703.72259104356,3407.44518208713,0.595156981427485
"brm.habitat.intercept",-1943.28015531375,3886.5603106275,0.532913810064875
"brm.habitat.intercept.fam",-1744.62811923511,3489.25623847022,0.565841322888752
"brm.diet.slope",-1894.50414512027,3789.00829024054,0.572782555309726
"brm.diet.slope.fam",-1740.80014942385,3481.60029884771,0.573634761571001
"brm.diet.intercept",-1918.71321131438,3837.42642262876,0.555286893940479
"brm.diet.intercept.fam",-1755.20452929801,3510.40905859602,0.565953580819841
"brm.trophic",-1889.33947715425,3778.67895430851,0.577404971922585
"brm.trophic.fam",-1737.55875646222,3475.11751292444,0.578447777780664
"brm.diet.habitat.fam",-1572.63077538006,3145.26155076011,0.689469117283036
"brm.diet.habitat.fam.clean",-1737.01761275773,3474.03522551545,0.686863684584628
"brm.diet.habitat.year",-1745.18055956205,3490.36111912411,0.670980395653156
"brm.diet.habitat.year.fam",-1507.25987651957,3014.51975303914,0.720309975615612
"brm.diet.habitat.year.fam.clean",-1662.64802446784,3325.29604893568,0.724200947930028
"brm.diet.habitat.species.year",-1469.73006664325,2939.46013328649,0.743817430813486
"brm.diet.habitat.species.year.clean",-1572.27304190172,3144.54608380343,0.770651780118417
