"CompositeCompositeID","TotalDDT","TotalDDT.lipid","Lipid","CompositeCommonName","Year","MDL.mean","MDL.min","CompositeTissuePrep","NumberFishPerComp","CompositeTissueName","WeightAvg.g","TLMin.mm","TLMax.mm","TLAvgLength.mm","SexSummary","Program","CompositeStationArea","Region","NewYear","TotalDDT.sed","scientific_name","tropic_level","trophic_category","feeding_position","TotalDDT.trans","TotalDDT.sed.trans","Censored","Detection.Limit"
"00-0373-t",20.4,22.95229523,0.8888,"white croaker",2,2.8,2,"Skin off",5,"fillet",43.95999908,162,177,170.8000031,"Unk (0), M (0), F (0)","CoastalFishCont","Ventura to Rincon","North","2003",1.08742788197047,"Genyonemus lineatus",3.4,"Secondary Carnivore","Benthopelagic",3.17606415350311,0.735932629587038,"none",1.17872423163783
"00-0375-t",48.27,14.85230769,3.25,"white croaker",2,3,2,"Skin on",5,"fillet",20,164,181,174.1999969,"Unk (0), M (0), F (0)","CoastalFishCont","Ventura to Rincon","North","2003",1.08742788197047,"Genyonemus lineatus",3.4,"Secondary Carnivore","Benthopelagic",2.76331508530888,0.735932629587038,"none",0.479573080261886
"00-0406-t",43.23,70.52202284,0.613,"spotted sand bass",2,3,2,"Skin off",5,"fillet",554,321,359,344,"Unk (0), M (0), F (0)","CoastalFishCont","La Jolla to San Onofre","South","2003",0.239556781141294,"Paralabrax maculatofasciatus",4.2,"Tertiary Carnivore","Benthopelagic",4.27000541402233,0.214753881158513,"none",1.4498893295844
"00-0407-t",122.9,27.01098901,4.55,"shiner surfperch",2,3,2,"Skin on",10,"fillet",34.48400116,132,146,137.6000061,"Unk (0), M (0), F (0)","CoastalFishCont","La Jolla to San Onofre","South","2003",0.239556781141294,"Cymatogaster aggregata",3,"Primary Carnivore","Midwater",3.33259689782396,0.214753881158513,"none",0.364337816684301
"00-0409-t",24.8,7.49244713,3.31,"shiner surfperch",2,2.8,2,"Skin on",10,"fillet",45.39799881,140,162,147.6999969,"Unk (0), M (0), F (0)","CoastalFishCont","SD South Bay","South","2003",0.0202267735893109,"Cymatogaster aggregata",3,"Primary Carnivore","Midwater",2.13917719554014,0.0200249296335281,"none",0.472643645864876
"00-0411-t",3,5.940594059,0.505,"spotted sand bass",2,2.8,2,"Skin off",5,"fillet",375,305,320,310,"Unk (0), M (0), F (0)","CoastalFishCont","SD South Bay","South","2003",0.0202267735893109,"Paralabrax maculatofasciatus",4.2,"Tertiary Carnivore","Benthopelagic",1.93738737013484,0.0200249296335281,"none",1.60148558424361
"00-0414-t",13.2,16.13691932,0.818,"walleye surfperch",2,2.8,2,"Skin on",3,"fillet",73.83333588,155,180,167.3333282,"Unk (0), M (0), F (0)","CoastalFishCont","TJ to North Island","South","2003",0.00234725536058737,"Hyperprosopon argenteum",3.5,"Secondary Carnivore","Midwater",2.84123516072575,0.00234450485996757,"none",1.23692035585588
"00-0449-t",34.5,46,0.75,"barred surfperch",2,2.8,2,"Skin off",3,"fillet",144.3999939,170,264,204.3333282,"Unk (0), M (0), F (0)","CoastalFishCont","Crystal Cove to Santa Ana River","Central","2003",9.88138277833103,"Amphistichus argenteus",3.5,"Secondary Carnivore","Benthopelagic",3.85014760171006,2.38705332694869,"none",1.29928298413026
"00-0450-t",19.3,34.40285205,0.561,"barred surfperch",2,2.8,2,"Skin off",10,"fillet",39.7859993,134,149,141.3999939,"Unk (0), M (0), F (0)","CoastalFishCont","TJ to North Island","South","2003",0.00234725536058737,"Amphistichus argenteus",3.5,"Secondary Carnivore","Benthopelagic",3.56679238327861,0.00234450485996757,"none",1.51843218067683
"00-0451-t",20.8,6.064139942,3.43,"queenfish",2,2.8,2,"Skin on",5,"fillet",38.22000122,146,166,158.8000031,"Unk (0), M (0), F (0)","CoastalFishCont","Pt Loma to La Jolla","South","2003",0.00206197565934147,"Seriphus politus",3.7,"Secondary Carnivore","Midwater",1.95503127369433,0.00205985270535028,"none",0.459378872767995
"00-0453-t",22.3,62.32532141,0.3578,"diamond turbot",2,2.8,2,"Skin on",4,"fillet",158.5,222,246,236,"Unk (0), M (0), F (0)","CoastalFishCont","Crystal Cove to Santa Ana River","Central","2003",9.88138277833103,"Pleuronichthys guttulatus",3.3,"Secondary Carnivore","Benthic",4.14828527143743,2.38705332694869,"none",1.88551008878341
"00-0668-t",0,0,0.377,"quillback rockfish",2,2.666666667,2,"Skin off",4,"fillet",594.75,310,351,332,"Unk (0), M (0), F (0)","CoastalFishCont","Pt Loma","South","2003",0.00458897677209139,"Sebastes maliger",3.8,"Secondary Carnivore","Benthopelagic",0,0.00457847952036258,"interval",1.84134927991218
"00-0670-t",3.14,6.168958743,0.509,"kelp bass",2,2.8,2,"Skin off",4,"fillet",278.75,306,330,314.75,"Unk (0), M (0), F (0)","CoastalFishCont","La Jolla to San Onofre","South","2003",0.239556781141294,"Paralabrax clathratus",3.9,"Secondary Carnivore","Midwater",1.96976041993717,0.214753881158513,"none",1.5951915298159
"00-0672-t",128.51,103.1380417,1.246,"black perch",2,3,2,"Skin off",5,"fillet",457,260,290,273.6000061,"Unk (0), M (0), F (0)","CoastalFishCont","Orange County Oil Platforms","Central","2003",4.33207319045178,"Embiotica jacksoni",3.2,"Primary Carnivore","Benthopelagic",4.645717343064,1.67374012886362,"none",0.957485048727138
"00-0673-t",92.4,72.01870616,1.283,"kelp bass",2,2.8,2,"Skin off",5,"fillet",499.2000122,312,356,328.7999878,"Unk (0), M (0), F (0)","CoastalFishCont","Orange County Oil Platforms","Central","2003",4.33207319045178,"Paralabrax clathratus",3.9,"Secondary Carnivore","Midwater",4.29071565708941,1.67374012886362,"none",0.939556552885956
"01-0046",113.65,52.13302752,2.18,"shiner surfperch",3,3.333333333,2,"Skin on",25,"fillet",21.25359917,121,121,121,"Unk (0), M (0), F (0)","CoastalFishCont","Santa Ana River to Seal Beach","Central","2003",2.21812243093411,"Cymatogaster aggregata",3,"Primary Carnivore","Midwater",3.972798722088,1.16879809350654,"none",0.650986369735667
