"mod","Estimate_elpd_loo","Estimate_p_loo","Estimate_looic","SE_elpd_loo","SE_p_loo","SE_looic"
"brm.none",-1821.19573391094,3.09960565775733,3642.39146782187,28.6582209217746,0.244979941768412,57.3164418435492
"brm.habitat.slope",-1706.80900781461,5.99336505144202,3413.61801562921,29.3209806859481,0.455187321378389,58.6419613718963
"brm.habitat",-1703.82638332871,8.03972584581504,3407.65276665742,29.5003046957079,0.532229625707573,59.0006093914157
"brm.habitat.intercept",-1744.46297109951,5.97045464682761,3488.92594219901,28.8346056058958,0.374824655311031,57.6692112117916
"brm.diet.slope",-1740.99325991364,5.63278903428374,3481.98651982729,27.8303386153266,0.427948448167143,55.6606772306533
"brm.diet.intercept",-1755.00576355224,6.30801055668109,3510.01152710448,28.1319934725779,0.499761143068426,56.2639869451558
"brm.trophic",-1737.62994094783,7.52182041970277,3475.25988189567,28.0204944693367,0.470264051979662,56.0409889386734
"brm.diet.habitat",-1625.48391011214,13.0916847941326,3250.96782022429,27.9728609334576,0.740086831285605,55.9457218669151
"brm.diet.habitat.year",-1559.46480375733,14.8992197316437,3118.92960751467,27.7472337237138,0.867508541503005,55.4944674474276
"brm.diet.habitat.species",-1548.78837206942,47.2845688338409,3097.57674413885,30.9706156798999,3.60362839069715,61.9412313597999
"brm.diet.habitat.species.year",-1469.46435716931,50.9409383715198,2938.92871433863,29.3903658041783,3.75793022000556,58.7807316083565
