CompositeCompositeID,TotalDDT,TotalDDT.lipid,Lipid,CompositeCommonName,Year,MDL.mean,MDL.min,CompositeTissuePrep,NumberFishPerComp,CompositeTissueName,WeightAvg.g,TLMin.mm,TLMax.mm,TLAvgLength.mm,SexSummary,Program,CompositeStationArea,Region
00-0373-t,20.4,22.95229523,0.8888,white croaker,2000,2.8,2,Skin off,5,fillet,43.95999908,162,177,170.8000031,"Unk (0), M (0), F (0)",CoastalFishCont,Ventura to Rincon,North
00-0375-t,48.27,14.85230769,3.25,white croaker,2000,3,2,Skin on,5,fillet,20,164,181,174.1999969,"Unk (0), M (0), F (0)",CoastalFishCont,Ventura to Rincon,North
00-0406-t,43.23,70.52202284,0.613,spotted sand bass,2000,3,2,Skin off,5,fillet,554,321,359,344,"Unk (0), M (0), F (0)",CoastalFishCont,La Jolla to San Onofre,South
00-0407-t,122.9,27.01098901,4.55,shiner surfperch,2000,3,2,Skin on,10,fillet,34.48400116,132,146,137.6000061,"Unk (0), M (0), F (0)",CoastalFishCont,La Jolla to San Onofre,South
00-0409-t,24.8,7.49244713,3.31,shiner surfperch,2000,2.8,2,Skin on,10,fillet,45.39799881,140,162,147.6999969,"Unk (0), M (0), F (0)",CoastalFishCont,SD South Bay,South
00-0411-t,3,5.940594059,0.505,spotted sand bass,2000,2.8,2,Skin off,5,fillet,375,305,320,310,"Unk (0), M (0), F (0)",CoastalFishCont,SD South Bay,South
00-0414-t,13.2,16.13691932,0.818,walleye surfperch,2000,2.8,2,Skin on,3,fillet,73.83333588,155,180,167.3333282,"Unk (0), M (0), F (0)",CoastalFishCont,TJ to North Island,South
00-0449-t,34.5,46,0.75,barred surfperch,2000,2.8,2,Skin off,3,fillet,144.3999939,170,264,204.3333282,"Unk (0), M (0), F (0)",CoastalFishCont,Crystal Cove to Santa Ana River,Central
00-0450-t,19.3,34.40285205,0.561,barred surfperch,2000,2.8,2,Skin off,10,fillet,39.7859993,134,149,141.3999939,"Unk (0), M (0), F (0)",CoastalFishCont,TJ to North Island,South
00-0451-t,20.8,6.064139942,3.43,queenfish,2000,2.8,2,Skin on,5,fillet,38.22000122,146,166,158.8000031,"Unk (0), M (0), F (0)",CoastalFishCont,Pt Loma to La Jolla,South
00-0453-t,22.3,62.32532141,0.3578,diamond turbot,2000,2.8,2,Skin on,4,fillet,158.5,222,246,236,"Unk (0), M (0), F (0)",CoastalFishCont,Crystal Cove to Santa Ana River,Central
00-0668-t,0,0,0.377,quillback rockfish,2000,2.666666667,2,Skin off,4,fillet,594.75,310,351,332,"Unk (0), M (0), F (0)",CoastalFishCont,Pt Loma,South
00-0670-t,3.14,6.168958743,0.509,kelp bass,2000,2.8,2,Skin off,4,fillet,278.75,306,330,314.75,"Unk (0), M (0), F (0)",CoastalFishCont,La Jolla to San Onofre,South
00-0672-t,128.51,103.1380417,1.246,black perch,2000,3,2,Skin off,5,fillet,457,260,290,273.6000061,"Unk (0), M (0), F (0)",CoastalFishCont,Orange County Oil Platforms,Central
00-0673-t,92.4,72.01870616,1.283,kelp bass,2000,2.8,2,Skin off,5,fillet,499.2000122,312,356,328.7999878,"Unk (0), M (0), F (0)",CoastalFishCont,Orange County Oil Platforms,Central
01-0046,113.65,52.13302752,2.18,shiner surfperch,2001,3.333333333,2,Skin on,25,fillet,21.25359917,121,121,121,"Unk (0), M (0), F (0)",CoastalFishCont,Santa Ana River to Seal Beach,Central
01-0050,40.3,79.72304649,0.5055,rainbow surfperch,2001,3,2,Skin on,11,fillet,117.1181793,166,210,187.2727203,"Unk (0), M (0), F (0)",CoastalFishCont,Newport Bay,Central
01-0051,85.99,60.34385965,1.425,shiner surfperch,2001,3,2,Skin on,14,fillet,30.06214333,105,160,137.8571472,"Unk (0), M (0), F (0)",CoastalFishCont,Newport Bay,Central
01-1080,16.2,8.780487805,1.845,spotted sand bass,2001,2.8,2,Skin off,5,fillet,496.1099854,319,351,335,"Unk (0), M (0), F (0)",CoastalFishCont,SD South Bay,South
01-1082,4.87,10.84632517,0.449,spotted sand bass,2001,2.8,2,Skin off,5,fillet,500.0020142,350,380,368.6000061,"Unk (0), M (0), F (0)",CoastalFishCont,SD North Bay,South
01-1083,14.8,21.40274765,0.6915,yellowfin croaker,2001,2.8,2,Skin off,5,fillet,320.0580139,289,329,305,"Unk (0), M (0), F (0)",CoastalFishCont,SD South Bay,South
01-1085,0,0,0.535,spotted sand bass,2001,2.666666667,2,Skin off,5,fillet,376.0559998,312,318,315,"Unk (0), M (0), F (0)",CoastalFishCont,Mission Bay,South
01-1086,12.3,45.72490706,0.269,rosy rockfish,2001,2.8,2,Skin off,6,fillet,208.125,218,254,238,"Unk (0), M (0), F (0)",CoastalFishCont,Northern Channel Islands,Islands
01-1087,15.7,27.25694444,0.576,canary rockfish,2001,2.8,2,Skin off,5,fillet,571.1539917,250,345,305.3999939,"Unk (0), M (0), F (0)",CoastalFishCont,Northern Channel Islands,Islands
01-1088,29.82,32.06451613,0.93,shiner surfperch,2001,3,2,Skin on,9,fillet,51.29999924,141,171,157.8888855,"Unk (0), M (0), F (0)",CoastalFishCont,SD North Bay,South
01-1090,4.27,3.681034483,1.16,spotted sand bass,2001,2.8,2,Skin off,6,fillet,509.9483337,311,345,323.5,"Unk (0), M (0), F (0)",CoastalFishCont,Mission Bay,South
01-1091,15.8,7.596153846,2.08,shiner surfperch,2001,2.8,2,Skin on,10,fillet,23.23500061,106,140,117.5,"Unk (0), M (0), F (0)",CoastalFishCont,Mission Bay,South
01-1093,4.03,2.583333333,1.56,spotted sand bass,2001,2.8,2,Skin off,5,fillet,475.1579895,331,351,338.3999939,"Unk (0), M (0), F (0)",CoastalFishCont,Mission Bay,South
01-1094,21.1,8.791666667,2.4,shiner surfperch,2001,2.8,2,Skin on,20,fillet,20.97400093,115,137,121.9499969,"Unk (0), M (0), F (0)",CoastalFishCont,Mission Bay,South
01-1095,3.76,4.476190476,0.84,rainbow surfperch,2001,2.8,2,Not Recorded,10,fillet,112.1679993,166,210,184.3999939,"Unk (0), M (0), F (0)",CoastalFishCont,Mission Bay,South
01-1096,3.72,4.366197183,0.852,spotted sand bass,2001,2.8,2,Skin off,5,fillet,535.9680176,314,383,350.3999939,"Unk (0), M (0), F (0)",CoastalFishCont,Mission Bay,South
01-1097,171.11,223.6732026,0.765,rainbow surfperch,2001,2.5,2,Skin on,5,fillet,327.0880127,213,259,237.3999939,"Unk (0), M (0), F (0)",CoastalFishCont,Pt Dume to Oxnard,North
01-1134,0,0,0.715,opaleye,2001,2.666666667,2,Skin off,5,fillet,383.6319885,270,330,299,"Unk (0), M (0), F (0)",CoastalFishCont,Catalina Island,Islands
01-1135,34.1,22.07119741,1.545,kelp bass,2001,2.8,2,Skin off,5,fillet,467.8460083,261,368,315.3999939,"Unk (0), M (0), F (0)",CoastalFishCont,Catalina Island,Islands
01-1136,8.36,17.02647658,0.491,rainbow surfperch,2001,2.8,2,Skin on,4,fillet,154.5800018,227,234,229.75,"Unk (0), M (0), F (0)",CoastalFishCont,Santa Barbara Coast,North
01-1137,123.97,94.63358779,1.31,black perch,2001,3,2,Skin off,5,fillet,488.4259949,280,295,290,"Unk (0), M (0), F (0)",CoastalFishCont,Orange County Oil Platforms,Central
01-1138,169.04,94.43575419,1.79,pile surfperch,2001,3,2,Skin off,5,fillet,599.6619873,280,372,331,"Unk (0), M (0), F (0)",CoastalFishCont,Orange County Oil Platforms,Central
01-1139,7.82,19.64824121,0.398,kelp bass,2001,2.8,2,Skin off,5,fillet,464.0820007,305,362,333.6000061,"Unk (0), M (0), F (0)",CoastalFishCont,Santa Barbara Coast,North
